,text,created_at,troll
15,Jokes about Twitter #ThingsPeopleOnTwitterLike,2016-11-08 02:39:05,1
16,"RT @AndrewLSeidel: Man gets assaulted by Trump mob.
Mob violence understandably spooks Secret Service.
Police save mob victim.
Victim gets…",2016-11-07 08:33:16,1
17,"A disabled boy was booed at a Trump rally. The next day, he got to meet President Obam... https://t.co/z3zKPSbsED https://t.co/5yxYAlZKeG",2016-11-08 00:13:30,1
18,Hillary should just be in prison no big deal #TrumpForPresident,2016-11-08 14:01:33,1
19,https://t.co/JLlWavVdoB Sending 1000s of virtual votes 2 @realDonaldTrump from the UK #TrumpForPresident https://t.co/2tAdcv4Vvl,2016-11-08 13:44:36,1
20,RT @DanScavino: PENNSYLVANIA👇 https://t.co/5d8oHmRxT2,2016-11-08 08:59:07,1
21,"The same joke, over, and over, and over again. Jeez. #ThingsPeopleOnTwitterLike https://t.co/qCArygXB2f",2016-11-08 02:20:35,1
22,RT @nine_oh: Twitter and Facebook lacking something you need? Try Population9 https://t.co/V02wk2Usv3,2016-11-07 02:39:19,1
23,"Endlich ist mein Dienstag da!
Vote for me, together we can rule the world

#ElectionDay #Wahlergebnis… https://t.co/G8JzurRkWZ",2016-11-08 11:49:39,1
24,Remember dems get out there early and vote often today. #riggedelection #TrumpForPresident,2016-11-08 12:28:48,1
25,"RT @GeffGefferson1: #ImVotingBecause If @realDonaldTrump Wins...
@midnight 
@remhq 
https://t.co/optiOnvqSs",2016-11-08 03:32:37,1
26,"RT @NikkiFinke: Toronto Star final tally: Trump made 494 false claims since Sept 15 mostly about Hillary but also rigged election, polls, t…",2016-11-07 10:07:12,1
27,RT @blicqer: ▶ Pumpkin launcher explodes injuring woman at Delaware competition https://t.co/NPClFR5S5G @NYDailyNews https://t.co/okSuhNs6Zk,2016-11-07 06:05:11,1
28,RT @bblancoynot: #2016ElectionIn3Words a clear choice https://t.co/0JccwjZx5X,2016-11-07 08:20:44,1
29,RT @ShutUpAmanda: Oh I am sooooo feelin this right now https://t.co/G6cfxuOihz,2016-11-08 03:47:10,1
30,RT @BayShoreIsHome: You need insurance just for the deductible. #obamacare   #ElectionDay https://t.co/EDP6guvATb,2016-11-08 15:45:13,1
31,"Guys, are you looking after #ElectionNight ?",2016-11-08 18:17:58,1
32,#ThingsPeopleOnTwitterLike Freaks and freaky things.,2016-11-08 12:12:50,1
33,"This awesome ad “Choice” will give you chills!

Everyone should watch this before voting!

Send to as many undecide… https://t.co/El9fPokREg",2016-11-07 11:00:30,1
34,RT @DonaldMAGATrump: Hillary Clinton is the most corrupt candidate ever. She sells out our country for power and money. #ElectionFinalThoug…,2016-11-07 00:39:33,1
35,"Штаты, в которых разрешены селфи с избирательными бюллетенями
#ElectionDay https://t.co/LX5oe8nZtz",2016-11-08 13:20:54,1
36,"RT @RobManess: @GovernorPerry, @RealBenCarson, and @RandPaul endorse Rob Maness for Senate! 
#lasen #ElectionDay https://t.co/8HuRADmPyv",2016-11-08 16:08:49,1
37,#DonaldTrump Says: RT DonaldJTrumpJr: Thanks New Hampshire!!!  #NH #NewHampshire #MAGA https://t.co/ZzqQbjusKq #TrumpForPresident,2016-11-08 13:52:56,1
38,@carrieffisher gary should be terrified of a hitlery presidency!  Trump/Pence 2016-2024!! #TrumpPence16 #TrumpForPresident,2016-11-08 15:50:40,1
39,#ImVotingBecause our military needs a strong backbone. #ElectionDay #myvote2016 #TrumpPence16 #TrumpForPresident,2016-11-08 14:59:09,1
40,Drain the Swamp,2016-11-08 15:23:44,1
41,RT @RomaAcorn: #ImWithHumusMarshmallowsPeanutButterSteakRibeye #ImwithChickenAvocadoSubwayDressedwithSweetOnionAndDoubleHoneyMustard #Elect…,2016-11-08 16:32:12,1
42,Don't forget to vote guys. #Trump2K16 #TrumpForPresident,2016-11-08 12:08:58,1
43,@realDonaldTrump there's a dog voting in Boston #riggedelection #Rigged https://t.co/qnIBymXzmH #TrumpForPresident,2016-11-08 15:25:22,1
44,RT @ZenRand: Taggers! Special @HashtagRoundup Crossover Event today @CurbYourTag @HashtagOrElse 1P &amp; 3P EDT! It'll be purrfect! https://t.c…,2016-11-07 08:05:17,1
45,"RT @RT_America: ‘Very comprehensive security plan’: NYPD deploys over 5,000 officers to protect polling sites #ElectionDay… ",2016-11-08 05:27:22,1
46,"RT @ShutUpAmanda: #ThingsPeopleOnTwitterLike
 Me?",2016-11-08 02:56:56,1
47,RT @KellyannePolls: To a packed house in #NH @realDonaldTrump tells a roaring crowd that @Patriots superstars  Bill Belichick &amp; Tom Brady s…,2016-11-08 10:01:16,1
48,#ThingsPeopleOnTwitterLike falling in love with people they will never meet,2016-11-08 02:03:50,1
49,RT @Aaron_Maybin: #SlagerTrial begins at 9 a.m. Court will end early so people can head to the polls.,2016-11-08 09:21:08,1
50,"RT @1losthillbilly: or depending on the amount of stickers, a new car? https://t.co/7oZdVUKLNa",2016-11-08 14:54:11,1
51,RT @realDonaldTrump: TODAY WE MAKE AMERICA GREAT AGAIN!,2016-11-08 15:47:13,1
52,RT @OljaNY1: I put a RED rose 🌹 in my hair and I'm going to vote for our president @realDonaldTrump here in New York City 🗽#MAGA #MyVote201…,2016-11-08 10:05:01,1
53,"RT @Russian_Starr: I asked an older white gentleman who he voted for. He said, ""I'll give you a clue: she's not a bigot."" #ElectionDay Clev…",2016-11-08 04:16:07,1
54,RT @LighteningBoldt: #PrayerforTrump           #TrumpTrain 🚂😎🇺🇸#TrumpWhiteHouse #HillaryForPrision #crookedFBIDirectorCome… ,2016-11-08 12:05:02,1
55,@BDUTT @HillaryClinton @realDonaldTrump #TrumpForPresident #HillaryForPrison2016 #TrumpForPresident,2016-11-08 09:30:43,1
56,"RT @DonaldJTrumpJr: My father has always been a change-maker. He is a leader who will get stuff done for the American people, not himself.",2016-11-08 13:52:06,1
57,"I think NBC's ""Live Voting"" backfired on them. #MAGA https://t.co/mFT4SmwYNc #TrumpForPresident",2016-11-08 09:45:18,1
58,Donald J Trump: the people protector. #Trump2k16 #TrumpForPresident,2016-11-08 14:43:24,1
59,"RT @rapstationradio: #NowPlaying: El-P/Run the Jewels/Killer Mike/Big Boi ""Banana Clipper"" #music https://t.co/88Dz6gQuum",2016-11-07 05:41:17,1
60,"RT @RealRupertX: Anybody know what time the riots start on Wednesday and, what should we wear ? https://t.co/65UXBMeMn1",2016-11-07 05:53:01,1
61,#HillaryForPrison2016  #Election2016 #USElections2016 https://t.co/hu2ByOOZzH #TrumpForPresident,2016-11-08 13:54:06,1
62,What is it with their agenda,2016-11-08 11:54:54,1
63,"RT @cspan: President Obama assists @HillaryClinton with step behind podium and says when she's elected ""it's going to be permanently there…",2016-11-08 12:29:01,1
64,#ElectionDay #USADecides I hope you guys vote for the right woman #HillaryForPrison2016 #TrumpForPresident,2016-11-08 16:13:54,1
65,#draintheswamp #HillaryForPrison2016 #lyinmedia https://t.co/zGcTlqF7M4 #TrumpForPresident,2016-11-08 10:53:24,1
66,#ByeHillary #NeverHillary #HillarysEmails #HillaryForPrison2016 #OctoberSurprise #LockHerUp #LyingCrookedHillaryUnFitB… #TrumpForPresident,2016-11-08 15:56:21,1
67,#TuesdayMotivation #LockHerUP https://t.co/NdeMt0Uvse #TrumpForPresident,2016-11-08 11:40:20,1
68,RT @AbhishekPrtp: As a Canadian I can’t tell you how much I enjoyed this US Presidential election 😂😆😆 #ElectionDay,2016-11-08 16:12:10,1
69,#riggedelection https://t.co/7Jk6YHqrKw,2016-11-08 11:44:41,1
70,RT @mabry4849: @retiredfirecapt @DixieRebelForce @belvedere Were getting sick and tired of her getting away with everything she is accused…,2016-11-08 11:45:54,1
71,#riggedelection #RiggedSystem #BENDoVERaMERICA #WEallLOSE https://t.co/7jz0D0r8iY #TrumpForPresident,2016-11-08 10:18:34,1
72,VIDEO : Sheriff Clarke and Judge Jeanine Make Their Final Election Day Prediction https://t.co/b06RikYpj2 https://t.co/hvgV7EYTUl,2016-11-07 10:24:04,1
73,RT @VH1: It's about to get lit #MarthaAndSnoop https://t.co/VLVcTdpTVK,2016-11-07 23:53:07,1
74,#Trump2016 #HillaryForPrison2016 #NeverHillary https://t.co/CZp3Gatkh0 #TrumpForPresident,2016-11-08 14:11:15,1
75,RT @MistressStormdw: @akhtark26537092 @BlogLiberally @FlipItDem @Hope012015 @cd5762  @badwebsites @TeaPainUSA imagery tht makes u shake ur…,2016-11-08 02:34:43,1
76,RT @meyer2311: Fact check Trump #2016ElectionIn3Words,2016-11-07 07:20:44,1
77,"RT @MONAKatOILS: #ElectionDay Trump Historic Quote: ""I am with you. I will fight for you and I will win for you. I promise.""
https://t.co/L…",2016-11-08 17:10:41,1
78,I'm the voice of the working Americans. #Trump2k16 #TrumpForPresident,2016-11-08 16:02:00,1
79,RT @BatesCollege: Notice to all #Batesies: These flyers are fake. Your dorm address is a valid legal address. You can register in person on…,2016-11-07 06:05:06,1
80,RT @KJakePatten: Where's the beef? #2016ElectionIn3Words,2016-11-07 07:13:31,1
81,"RT @Dreamweasel: I am aware of many Republicans who have endorsed Clinton. Can't name one Democrat who has done the same for Trump.

 #Elec…",2016-11-07 07:29:06,1
82,RT @IndieRadioPlay: Now Playing: Lil Uzi Vert - Buy It -&gt; https://t.co/eMX9JgTv3v,2016-11-07 14:45:16,1
83,@tyleroakley #Trump2016 #HillaryForPrison2016 #TrumpForPresident,2016-11-08 14:15:17,1
84,RT @DanaGeezus: #2016ElectionIn3Words Grab the pussy!,2016-11-07 06:12:20,1
85,RT @wikileaks: DoJ Assistant Attorney Peter Kadzik outed as a mole for Hillary Clinton campaign https://t.co/MNHzJ310Nl https://t.co/uTQF6b…,2016-11-07 23:44:59,1
86,Клинтон победила на первом открывшемся участке в американском городке Диксвилл-Нотч (штат Нью-Гэмпшир)… https://t.co/ytdbPDqvA7,2016-11-08 00:04:05,1
87,"RT @trendinaliaCA: The tweet with the most impact of the #MoveOnIn5Words Trend, was published by @theclobra: https://t.co/F7jcyRLG8j (49 RT…",2016-11-08 15:42:04,1
88,Does anyone really think Hillary loves America and cares about the middle class? Vote #TrumpPence16 #TrumpForPresident,2016-11-08 15:28:45,1
89,"RT @chiefplan1: #ElectionFinalThoughts
Damn --Delusional Donnie-'
you are darker than Darth,
Dangerously Unfit!
@realDonaldTrump https://t.…",2016-11-08 02:15:06,1
90,RT @jimgeraghty: That’s weird. The first exit poll numbers are the same as the recurring number sequence from Lost. https://t.co/k8TM9qKrfi,2016-11-08 14:14:35,1
91,#PrayForAmerica #Election2016 #MakeAmericaGreatAgain #HillaryForPrison2016 #TrumpForPresident,2016-11-08 10:56:40,1
92,"RT @ProLifeRosary: If you are going to read one message from Heaven before #myvote2016 on #ElectionDay , read this one: https://t.co/7tWILT…",2016-11-08 14:21:31,1
93,"RT @LauraWalkerKC: Shorter Nevada Judge to Trump Lawyer:  ""That's not how it works.  That's not how any of this works""",2016-11-08 17:26:43,1
94,RT @BayShoreIsHome: You need insurance just for the deductible. #obamacare   #ElectionDay https://t.co/EDP6guvATb,2016-11-08 13:49:40,1
95,#Trump2k16 #followthehype #sayyestothewall #TrumpForPresident,2016-11-08 14:08:02,1
96,"On November 8, 1933 -- Actress Ester Rolle was born in Pompano Beach, Florida. But no one cares because of… https://t.co/n5RFtieMK5",2016-11-08 14:28:26,1
97,"@MilkE73 #HillaryForPrison2016 ""Lock her up!"" #TrumpForPresident",2016-11-08 15:01:14,1
98,RT @_Proud_American: Laura Ingraham's Closing Argument for Trump - A New Approach that Puts America First https://t.co/jAY8lN5Gpk,2016-11-08 10:20:40,1
99,RT @RobbyMook: Landing in Philly for final event w @just_jenna @loril @mayaharris_.  Tens of thousands of volunteers knocking on doors now.…,2016-11-07 06:17:04,1
100,"RT @NickDeBabylon: ""@amandacarpenter: Not tweeting tonight. Soaking in the history of everything. Watching every second"" https://t.co/sBusb…",2016-11-08 16:59:46,1
101,"RT @JD_Snapps: #WriteAPanel

1-See the lightning? Looks like Trumpenstein is working on his Orange monster again.

2- (GASP!!) Will he eat…",2016-11-08 03:34:53,1
102,RT @DonaldJTrumpJr: Just sitting here and can't believe how far we have come. The movement is incredible. Let's finish this STRONG!… ,2016-11-08 16:40:24,1
103,Staying off FB,2016-11-08 16:38:27,1
104,@mitchellvii Well here we go. Two hours until I proudly cast my vote for #TrumpPence16 #TrumpForPresident,2016-11-08 14:04:09,1
105,RT @piersmorgan: So many fabulously demented &amp; partisan Trump-hating US journalists in this election but this guy's particularly nuts: @kur…,2016-11-08 11:33:13,1
106,The GOP makes a final push in Michigan https://t.co/WxbROiOgGU https://t.co/OM3r2HtC0A,2016-11-07 16:57:32,1
107,RT @SethMacFarlane: HRC proposes installing half a billion solar panels by the end of her first term. Trump thinks climate change is a hoax…,2016-11-07 05:19:27,1
108,#HillaryForPrison2016 https://t.co/A6ikcbeplx #TrumpForPresident,2016-11-08 13:36:42,1
109,"#2016ElectionIn3Words lies, hypocrisy,",2016-11-07 07:22:10,1
110,#TrumpWillWin #LockHerUp https://t.co/MRGlOCOere #TrumpForPresident,2016-11-08 14:38:39,1
111,RT @MiriamElder: No one at the Russian consulate would talk about the bizarre death there this morning but here are some balloons https://t…,2016-11-08 16:59:06,1
112,"RT @Reality_n_Truth: I want to see them cry, then grovel, then get kicked in the teeth, then fade into utter irrelevancy. https://t.co/MefQ…",2016-11-08 15:30:59,1
113,"RT @Dbargen: Woman DESTROYS Michelle Obama While Driving To Vote - “Yes, I Am Black, But I Am Not Voting Democrat https://t.co/XDjvSgWmu4 @…",2016-11-08 16:39:17,1
114,RT @mg1928: @newtgingrich Let's do this! https://t.co/WTJSLJputP,2016-11-07 17:33:06,1
115,"RT @deweylasv: LOOK!⤵
@foxnews @CNN @MSNBC @ABC @CBS @NBCNews @CNNPolitics https://t.co/tVSn2xi5Nz",2016-11-08 11:34:58,1
116,"RT @OnPirateSat: #IHateRadio - The Damned celebrates its 40th anniversary with a new album, tour https://t.co/jhjmKyPynX https://t.co/nXEZr…",2016-11-07 07:28:56,1
117,"America Right Now:

#ElectionDay https://t.co/DtCXoZKbUB",2016-11-08 18:24:36,1
118,RT @phxazgrl: I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/qnSUeWA9E8,2016-11-08 16:58:14,1
119,"RT @FabFashionUSA: Serena Williams Talks Body Image, Sexuality &amp; Discrimination https://t.co/6pKSgsxzDI #BlackGirlMagic https://t.co/9NisqD…",2016-11-07 05:41:12,1
120,RT @IngrahamAngle: Vote...America! @realDonaldTrump https://t.co/bh1AM8pKOL,2016-11-08 14:15:23,1
121,"BOMBSHELL VIRAL VIDEO : THE TRUTH ABOUT CLINTON INC. – Greed, Corruption, Crime https://t.co/6SqJjXQ4Qe https://t.co/wXcqD7UOFi",2016-11-07 07:36:17,1
122,"RT @DrJillStein: Don't let the elites tell you your vote doesn't count! #VoteGreen2016 https://t.co/W3QD0PjcoB

#election2016 https://t.co/…",2016-11-08 15:14:13,1
123,RT @chanesteiner: We get it @CNN. You want Hillary. It's very clear to anyone who read the #Wikileaks emails of your anchors asking the DNC…,2016-11-08 11:09:06,1
124,RT @LiamMattinson1: You're so screwed #2016ElectionIn3Words,2016-11-07 07:27:47,1
125,In Guantanamo https://t.co/1ReN71Oxku,2016-11-08 08:48:21,1
126,"RT @Jarmadillos: Odds that Julian Assange, who is actively meddling in our election, will rot to death in the Ecuadoran embassy have just i…",2016-11-07 01:18:27,1
127,"RT @AIIAmericanGirI: If Hillary Clinton Wins, Republican Senators Promise to Block Her Pro-Abortion Supreme Court Nominees @LifeNewsHQ
http…",2016-11-08 12:10:37,1
128,#ElectionDay #TrumpLandslide #HillaryForPrison2016 #TrumpForPresident,2016-11-08 10:16:06,1
129,RT @FkingDaniel: We're all fucked. #2016ElectionIn3Words,2016-11-07 06:23:49,1
130,"RT @JackBPR: No POTUS, no former POTUS, no free concerts to draw crowd . . . and Trump breaks records https://t.co/9tvzI1nEuY https://t.co/…",2016-11-08 15:10:48,1
131,"RT @HouseCracka: Can't blame early voting @nbc 
Hillary sucks and black people know it. They are not turning out for her. https://t.co/OWnL…",2016-11-08 11:38:55,1
132,RT @TrumpNV: Make this your profile picture if you voted today! #ElectionDay #TrumpPence16 https://t.co/ngoQoJAmAX,2016-11-08 10:25:36,1
133,@TallahForTrump @realDonaldTrump So true!! #TrumpPence #MAGA #TrumpForPresident,2016-11-08 10:52:08,1
134,"When I type ""love trumps hate"" it autocorrects to ""love Trump's hate"" #rigged #riggedsystem #riggedelection #TrumpForPresident",2016-11-08 11:36:07,1
135,Donald Trump Defeats Hillary Clinton For President https://t.co/loI0qgB9Lf https://t.co/s2Y3hnkyLf,2016-11-08 23:55:22,1
136,This election is being rigged! REPORT VOTER FRAUD: 888 486 8102 (Being Patriotic hotline) or 855 976 1200 (Trump Lawyer Team) #Elections2016,2016-11-08 11:33:45,1
137,@realDonaldTrump #riggedelection https://t.co/CKDYtl1qUp #TrumpForPresident https://t.co/XkVooEKvW8,2016-11-08 10:59:13,1
138,If Hillary becomes President then WW3 will happen. If TRUMP becomes President then Hillary goes to Prison. #trump2k16 #TrumpForPresident,2016-11-08 15:12:21,1
139,#ElectionFinalThoughts #maga #crookedhillary #draintheswamp #votetrump #americafirst #TrumpForPresident,2016-11-08 14:25:28,1
140,RT @hmrose180: @mitchellvii I live in Columbus and the only signs I have seen are Trump/Pence or Hillary For Prison!,2016-11-08 11:59:43,1
141,RT @SugarGretel: Bernie supporters voting for Trump?  #WTFAmericaIn5Words https://t.co/WxNy9bH6e3,2016-11-08 15:40:42,1
142,"RT @LepineLynne: Leaked Bill Clinton Speech: Obama Years Left No Hope For White Working Class &amp; Hillary will be Worse for Middleclass
https…",2016-11-07 21:59:15,1
143,Arrrrrg purple my nerple,2016-11-08 02:03:05,1
144,Undecided? Can you overlook Trump mocking the disabled?  Can you disregard the pain of those who were appalled by i… https://t.co/mlzwCSw0DV,2016-11-07 00:33:26,1
145,RT @landofmind1: Florida Election Worker Goes Public With Massive Voter Fraud Happening Right Now https://t.co/IiLjk3TB8O via @yesimright1,2016-11-08 15:33:02,1
146,"RT @DondeGroovily: #IfYouLikeThisYoullLoveThat
Pokemon/illegal dog fighting rings",2016-11-07 01:19:29,1
147,@CNN looked liked #HilaryClinton #HillaryForPrison2016  wasn't standing so well walking off her plane. Pneumonia ag… https://t.co/6sLCN3GvXb,2016-11-08 10:06:24,1
148,#ThingsPeopleOnTwitterLike Boobs Trolling getting retweeted,2016-11-08 03:02:14,1
149,@mitchellvii Well here we go. Two hours until I proudly cast my vote for #TrumpPence16 #TrumpForPresident,2016-11-08 10:51:33,1
150,"RT @ajfromhouston: FOR THE PEOPLE IN FLORIDA PANHANDLE,GET OUT AND VOTE,,BECAUSE IF YOUR STATE WANT TO KEEP UP WITH TEXAS,,GET OUT AND VOTE…",2016-11-08 15:16:41,1
151,Throw #HillaryRottenClinton behind bars #DrainTheSwamp #MAGA #TrumpForPresident,2016-11-08 15:02:17,1
152,"RT @JackDrees: We won't miss you, 2016 election. #ElectionFinalThoughts",2016-11-07 05:52:27,1
153,RT @TrumpNV: Make this your profile picture if you voted today! #ElectionDay #TrumpPence16 https://t.co/ngoQoJAmAX,2016-11-08 12:35:24,1
154,My dick #ThingsPeopleOnTwitterLike,2016-11-08 12:08:48,1
155,"RT @Jarmadillos: Odds that Julian Assange, who is actively meddling in our election, will rot to death in the Ecuadoran embassy have just i…",2016-11-07 00:32:13,1
156,DON'T USE VOTING MACHINES REQUEST A PAPER BALLOT! #POTUS #ElectionDay #voterfraud #TrumpWins #Hillary4Prison #TrumpForPresident,2016-11-08 10:30:10,1
157,"RT @March_for_Life: @March_for_Life @oliviashaw @lizkeiser017 @lovealways_tayc You've been quoted in my #Storify story ""I Vote Pro-Life"" ht…",2016-11-08 16:23:35,1
158,@TheDemocrats at a prison #HillaryForPrison2016 #Hillary4Prison vote @realDonaldTrump #TrumpForPresident,2016-11-08 10:40:03,1
159,"RT @timmyjrebel: #WikiLeaks: DNC and CNN colluded on questions for Trump, Cruz https://t.co/3AzBblvMXO via @DCExaminer #CrookedMedia #Trump…",2016-11-07 05:17:29,1
160,#TrumpPence16 #Trump2016 #TrumpTrain #MakeAmericaGreatAgain #NeverHillary #CorruptHillary #draintheswamp #TrumpForPresident,2016-11-08 11:58:18,1
161,"RT @keeg1616: We are doomed

 #2016ElectionIn3Words",2016-11-07 06:18:03,1
162,RT @s_m_i: From “text to vote” scams to paper ballot schemes: here's 4Chan's plan to cause chaos and suppress the vote tomorrow https://t.c…,2016-11-07 11:37:45,1
163,RT @RealRupertX: Want to start a tab ? #MoveOnIn5Words https://t.co/huXrajMVOV,2016-11-08 14:22:35,1
164,RT @marlenesloan12: @DrottM Hillary does not deserve a vote= In fact POTUS_AG_ &amp; FBI all failed to remove her from race-was under investiga…,2016-11-08 12:33:16,1
165,#Vote2016 #vote #VoteTrump #VOTEHILLARY #iVoted #November82016 #Election2016 https://t.co/w2EMOOrb3C #TrumpForPresident,2016-11-08 09:43:13,1
166,Voting for Donald Trump tomorrow I hope he wins he's the best choice for America. #TrumpTrain #TrumpPence16 #Trump2k16 #TrumpForPresident,2016-11-08 14:52:30,1
167,RT @NRSC: It's time to hold Democrats accountable for proudly standing with Hillary Clinton under an FBI investigation. Visit… ,2016-11-07 18:20:24,1
168,"RT @ShutUpAmanda: #IfYouLikeThisYoullLoveThat 
Steampunk / Douching",2016-11-07 00:41:55,1
169,Election Day!!! #TrumpForPresident,2016-11-08 09:51:52,1
170,"RT @chiefplan1: Delusional Donnie!
Crashes the economy,
trashes alliances, gets
US in needless wars, costs
US millions of jobs&amp; commit
Clim…",2016-11-07 06:16:52,1
171,"RT @gazgagman: Trump Steak

 #DangerousFoods",2016-11-08 15:14:38,1
172,DO THE RIGHT THING AMERICA!!! #TRUMP2K16 #TrumpForPresident https://t.co/T9LJOnBKPP,2016-11-08 11:13:02,1
173,Who to blame now if not the uneducated? https://t.co/F4cWcWxsKb,2016-11-08 21:51:58,1
174,"Too progressive to exist
#ElectionDay https://t.co/S8k3ogVyh1",2016-11-08 13:57:42,1
175,If you support hillary clinton unfollow me now #Trump2k16 #TrumpForPresident,2016-11-08 10:12:52,1
176,#2016ElectionIn3Words Dad voted Trump,2016-11-07 07:23:09,1
177,RT @a219224: @lukiOC @Doodisgirl @LyndaG1963 @popstherock33  @sawmilltaters @abitx2u @GoalieBill328 https://t.co/Vas2sUZJgp,2016-11-08 10:49:13,1
178,RT @jimgeraghty: That’s weird. The first exit poll numbers are the same as the recurring number sequence from Lost. https://t.co/k8TM9qKrfi,2016-11-08 13:49:19,1
179,RT @Kim13283440: The same. Thing happened to me in peachbottom township in PA! https://t.co/1SsgKHWZ0y,2016-11-08 11:44:32,1
180,To be offended. #ThingsPeopleOnTwitterLike,2016-11-08 09:50:40,1
181,RT @slava381977: ‘Clever-cyber thief to a ..’: Huma Abedin &amp; Clinton discuss Assange in emails #Trump2016 #2A https://t.co/Qlj4ru6AH0 https…,2016-11-07 13:46:07,1
182,RT @batshake1: #DangerousFoods. Cancerloin steak,2016-11-08 15:27:39,1
183,And just how is this not criminal? Why is @HillaryClinton still allowed to run? #NeverHillary #HillaryForPrison2016… #TrumpForPresident,2016-11-08 12:14:00,1
184,Trump Tells Final 2016 Rally: 'This Is Our Independence Day' https://t.co/kgLztHhauu https://t.co/Mna2oBLCR8,2016-11-08 04:18:03,1
185,"RT @theglobaluniter: #ElectionDay 

👍Today is a very Historic DAY

The #TrumpTrain, says #ThankYou for waiting in line &amp; #Voting 

.@realDo…",2016-11-08 15:08:47,1
186,RT @JanJohnsonFL: The only one's tired are the biased #media @USATODAY. #TrumpPence16,2016-11-08 16:26:39,1
187,@tjstidham14 @BirdLawDS #riggedelection #RiggedSystem https://t.co/322AAaZyzH #TrumpForPresident,2016-11-08 10:39:06,1
188,Polls not even open yet and the lines are huge! #TrumpPence16 #Trump2016 #HillaryForPrison2016… https://t.co/EWTHmbEbdA,2016-11-08 10:23:32,1
189,@Stevenwhirsch99 @Darren32895836 Fuck you @springsteen  #sellout #HillaryForPrison2016 #TrumpForPresident,2016-11-08 14:39:38,1
190,"RT @Dubzzzinyaface: #IfYouLikeThisYoullLoveThat
Dogs... You'll love this!!!
@ShutUpAmanda https://t.co/RIDNuk7wWZ",2016-11-07 01:04:50,1
191,RT @annehelen: Everyone taking selfies at the intersection of President and Clinton in Carroll Gardens https://t.co/0Xyz80986X,2016-11-08 15:50:42,1
192,RT @SyedSalehAbbas: No matter what happens in this election the ☀️ will rise on Wednesday &amp; God will still be in charge. Thy will be done #…,2016-11-07 00:36:56,1
193,#TrumpWinsBecause he cares about our Veterans! #TrumpForPresident,2016-11-08 10:49:12,1
194,RT @inXwords: #2016ElectionIn3Words The same party?,2016-11-07 08:02:38,1
195,"RT @AbhishekPrtp: In all seriousness, America you’re already great pls don’t fall for a man who says he alone can fix things. 
-Canada 🇨🇦
#…",2016-11-08 14:49:28,1
196,RT @JunkyWithAMonkE: #2016ElectionIn3Words America... Fuck Yeah? https://t.co/8zS8R9SRMN,2016-11-07 06:24:11,1
197,#BringBernieBack #feelthebern #BernieSanders #HillaryForPrison2016 #DemExitNOW https://t.co/wjL9dsRA2c #TrumpForPresident,2016-11-08 11:25:15,1
198,RT @gerfingerpoken: Did IRS Leak Trump Returns 2 Help Hillary? https://t.co/EWkqWLPAQN American Thinker https://t.co/L7h6rlr1le  https://t.…,2016-11-08 15:11:38,1
